KIT ID Number,Borough,Zipcode,Date Collected,Received Date,First Draw at-the-tap Lead level (µg/l),First Draw at-the-tap copper level (mg/l)
1410147,STATEN ISLAND,10312,6/15/14,6/18/14,0,0.081
1410090,MIDDLE VILLAGE,11379,6/15/14,6/24/14,9,0.156
1410222,STATEN ISLAND,10309,6/15/14,6/19/14,2,0.187
1410082,FOREST HILLS,11375,6/15/14,6/18/14,1,0.097
1410105,FLUSHING,11358,6/15/14,6/18/14,1,0.093
1410132,FLUSHING,11354,6/15/14,6/24/14,5,0.1
1410062,NEW YORK,10013,6/16/14,6/19/14,5,0.077
1410002,FLUSHING,11354,6/16/14,6/23/14,14,0.134
1410205,STATEN ISLAND,10303,6/16/14,6/18/14,0,0.104
1410009,STATEN ISLAND,10306,6/16/14,6/24/14,0,0.082
1410001,MASPETH,11378,6/16/14,6/18/14,8,0.114
1410048,BRONX,10470,6/16/14,6/24/14,6,0.104
1410179,STATEN ISLAND,10309,6/16/14,6/19/14,0,0.194
1410075,BRONX,10464,6/16/14,6/18/14,4,0.16
1410099,FOREST HILLS,11375,6/16/14,6/18/14,5,0.04
1410175,STATEN ISLAND,10314,6/16/14,6/17/14,3,0.136
1410238,BRONX,10471,6/16/14,6/20/14,2,0.159
1410174,STATEN ISLAND,10304,6/17/14,6/23/14,4,0.126
1410095,MIDDLE VILLAGE,11379,6/17/14,6/20/14,4,0.062
1410196,MIDDLE VILLAGE,11379,6/17/14,6/19/14,7,0.192
1410098,STATEN ISLAND,10312,6/17/14,6/23/14,5,0.123
1410076,BAYSIDE,11361,6/17/14,6/27/14,2,0.149
1410028,JAMAICA,11432,6/18/14,6/20/14,422,0.42
1410054,BROOKLYN,11234,6/18/14,6/20/14,0,0.222
1410026,SAINT ALBANS,11412,6/18/14,6/24/14,1,0.144
1410126,BROOKLYN,11223,6/18/14,6/23/14,6,0.137
1410051,HOLLIS,11423,6/18/14,6/20/14,1,0.139
1410249,Brooklyn,11209,6/19/14,6/24/14,0,0.04
1410131,EAST ELMHURST,11369,6/19/14,6/23/14,8,0.194
1410209,ASTORIA,11105,6/20/14,6/25/14,12,0.132
1410160,STATEN ISLAND,10308,6/20/14,6/25/14,16,0.113
1410058,RICHMOND HILL,11418,6/20/14,6/25/14,2,0.014
1410072,BROOKLYN,11234,6/20/14,6/30/14,2,0.004
1410023,BRONX,10457,6/20/14,6/25/14,0,0.049
1410088,FLUSHING,11355,6/22/14,6/26/14,2,0.043
1410097,BAYSIDE,11361,6/22/14,6/26/14,4,0.117
1410043,BROOKLYN,11213,6/22/14,6/30/14,0,0.093
1410224,STATEN ISLAND,10308,6/23/14,6/25/14,0,0.138
1410181,STATEN ISLAND,10314,6/23/14,6/26/14,0,0.084
1410035,Queens,11435,6/23/14,6/25/14,2,0.074
1410063,FLUSHING,11354,6/23/14,6/27/14,17,0.092
1410060,BROOKLYN,11234,6/23/14,6/30/14,0,0.069
1410014,KEW GARDENS,11415,6/24/14,6/30/14,0,0.04
1410141,BROOKLYN,11212,6/24/14,7/1/14,2,0.192
1410236,SAINT ALBANS,11412,6/25/14,6/27/14,1,0.041
1410187,STATEN ISLAND,10306,6/25/14,7/1/14,6,0.151
1410151,STATEN ISLAND,10312,6/25/14,6/27/14,0,0.089
1410167,STATEN ISLAND,10312,6/25/14,6/30/14,0,0.136
1410065,BROOKLYN,11205,6/26/14,7/1/14,5,0.17
1410066,BROOKLYN,11215,6/26/14,7/1/14,5,0.403
1410148,STATEN ISLAND,10312,6/26/14,7/3/14,1,0.139
1410150,STATEN ISLAND,10309,6/27/14,7/1/14,2,0.139
1410212,STATEN ISLAND,10306,6/28/14,7/1/14,5,0.166
1410199,BROOKLYN,11218,6/30/14,7/2/14,7,0.146
1410206,STATEN ISLAND,10309,7/2/14,7/9/14,0,0.115
1410169,STATEN ISLAND,10314,7/7/14,7/10/14,24,0.159
1410214,NEW YORK,10075,7/7/14,7/11/14,2,0.071
1410197,FLUSHING,11358,7/8/14,7/10/14,11,0.095
1410115,STATEN ISLAND,10304,7/8/14,7/11/14,8,0.108
1410127,RIDGEWOOD,11385,7/9/14,7/16/14,9,0.034
1410101,FLUSHING,11354,7/11/14,7/16/14,1,0.185
1410121,FAR ROCKAWAY,11691,7/13/14,7/16/14,2,0.089
1410232,BROOKLYN,11215,7/13/14,7/16/14,59,0.174
1410122,RIDGEWOOD,11385,7/13/14,7/17/14,5,0.027
1410106,FLUSHING,11354,7/19/14,7/29/14,4,0.193
1410021,SAINT ALBANS,11412,7/24/14,7/29/14,2,0.042
1410133,BROOKLYN,11212,7/26/14,7/31/14,0,0.125
1410018,CAMBRIA HEIGHTS,11411,8/8/14,8/13/14,0,0.091
1410135,BROOKLYN,11224,8/8/14,8/12/14,1,0.063
1410119,RIDGEWOOD,11385,8/15/14,8/19/14,5,0.042
1410070,FLORAL PARK,11001,8/17/14,8/21/14,6,0.145
15123299,MIDDLE VILLAGE,11379,6/3/15,6/11/15,3,0.052
15123403,STATEN ISLAND,10309,6/3/15,6/9/15,0,0.126
15123393,STATEN ISLAND,10314,6/4/15,6/9/15,0,0.161
15123321,MASPETH,11378,6/4/15,6/9/15,4,0.125
15123295,JAMAICA,11432,6/4/15,6/9/15,5,0.148
15123547,BROOKLYN,11232,6/4/15,6/9/15,5,0.107
15123294,MIDDLE VILLAGE,11379,6/4/15,6/9/15,9,0.142
15123506,BROOKLYN,11214,6/4/15,6/9/15,9,0.133
15123529,FAR ROCKAWAY,11694,6/4/15,6/15/15,2,0.148
15123222,New York,10010,6/4/15,6/9/15,0,0.116
15123510,BROOKLYN,11214,6/4/15,6/9/15,3,0.152
15123335,FLUSHING,11354,6/4/15,6/9/15,4,0.087
15123496,BROOKLYN,11225,6/4/15,6/9/15,30,0.189
15123363,STATEN ISLAND,10306,6/4/15,6/9/15,0,0.159
15123287,FOREST HILLS,11375,6/4/15,6/9/15,5,0.049
15123420,FOREST HILLS,11375,6/4/15,6/9/15,2,0.057
15123461,FOREST HILLS,11375,6/4/15,6/9/15,5,0.096
15123503,JAMAICA,11432,6/4/15,6/9/15,52,0.135
15123364,STATEN ISLAND,10305,6/4/15,6/9/15,0,0.115
15123256,LITTLE NECK,11363,6/4/15,6/9/15,0,0.184
15123548,JAMAICA,11432,6/4/15,6/9/15,2,0.019
15123275,BROOKLYN,11228,6/4/15,6/9/15,18,0.132
15123525,FRESH MEADOWS,11365,6/4/15,6/9/15,0,0.181
15123439,FAR ROCKAWAY,11691,6/4/15,6/9/15,16,0.485
15123226,BRONX,10457,6/4/15,6/9/15,0,0.082
15123350,STATEN ISLAND,10312,6/4/15,6/9/15,0,0.129
15123381,STATEN ISLAND,10314,6/4/15,6/9/15,0,0.135
15123546,FOREST HILLS,11375,6/4/15,6/9/15,7,0.14
15123493,QUEENS VILLAGE,11427,6/4/15,6/9/15,5,0.121
15123519,JAMAICA,11434,6/4/15,6/9/15,5,0.147
15123438,BROOKLYN,11215,6/4/15,6/9/15,4,0.154
15123227,BROOKLYN,11230,6/4/15,6/9/15,11,0.221
15123376,STATEN ISLAND,10314,6/4/15,6/9/15,4,0.132
15123315,JAMAICA,11432,6/4/15,6/9/15,0,0.05
15123406,STATEN ISLAND,10309,6/4/15,6/10/15,0,0.138
15123534,BROOKLYN,11210,6/4/15,6/9/15,5,0.09
15123224,STATEN ISLAND,10306,6/4/15,6/8/15,0,0.156
15123284,BRONX,10464,6/4/15,6/8/15,5,0.19
15123312,MASPETH,11378,6/4/15,6/8/15,6,0.088
15123433,BROOKLYN,11228,6/4/15,6/8/15,12,0.262
15123487,MIDDLE VILLAGE,11379,6/4/15,6/9/15,4,0.116
15123511,BROOKLYN,11228,6/4/15,6/10/15,5,0.05
15123389,STATEN ISLAND,10304,6/4/15,6/9/15,3,0.099
15123261,HOLLIS,11423,6/4/15,6/9/15,1,0.265
15123234,STATEN ISLAND,10303,6/5/15,6/9/15,0,0.146
15123217,FLUSHING,11354,6/5/15,6/10/15,8,0.11
15123264,SOUTH RICHMOND HILL,11419,6/5/15,6/9/15,3,0.101
15123333,FAR ROCKAWAY,11691,6/5/15,6/9/15,0,0.23
15123375,STATEN ISLAND,10304,6/5/15,6/9/15,21,0.091
15123424,STATEN ISLAND,10310,6/5/15,6/8/15,1,0.167
15123331,FOREST HILLS,11375,6/5/15,6/9/15,5,0.064
